id,message,time,relative_time,author
816072834,"Muito bom, Nando!","Quinta-Feira, 28 de Fevereiro de 2013 às 23:58",11 anos atrás,franciscomxs
2058773040,"Conhece esse projeto Nando? Eu uso muito ele como referencia.
https://github.com/danielvl...","Terça-Feira, 2 de Junho de 2015 às 17:58",8 anos atrás,rgarbin
2058840567,"Não, não conhecia.","Terça-Feira, 2 de Junho de 2015 às 18:30",8 anos atrás,Nando Vieira
2059192428,"Nando, sou novo no mundo da programação web. Estou querendo aprender ruby, porém não sei ao certo por onde começar. Gostaria de ver um artigo sobre ""o caminho das pedras"" em ruby, se possível, claro. Ótimo post, aliás!","Terça-Feira, 2 de Junho de 2015 às 23:08",8 anos atrás,Guilherme
2059277418,Começa com o curso do fnando :-),"Quarta-Feira, 3 de Junho de 2015 às 00:33",8 anos atrás,Lucas Caton
2059785203,"Levantando a máquina com Vagrant é a mesma coisa ? Ou tem alguma configura
cão a mais Nando ?","Quarta-Feira, 3 de Junho de 2015 às 10:14",8 anos atrás,Palmer 
2059937426,"Tem mais algumas coisas. Você precisa criar o usuário vagrant com senha 'vagrant', que deve ser sudoer sem senha. Além disso, é preciso dar uma limpada na VM, para diminuir o tamanho.","Quarta-Feira, 3 de Junho de 2015 às 11:44",8 anos atrás,Nando Vieira
2059963525,Se der ( ou quando der ) faz um post sobre como configurar no Vagrant...eu mesmo tenho muitas dúvidas de qual a maneira certa de configurar uma VM no vagrant. Valeu Nando ótimo post!,"Quarta-Feira, 3 de Junho de 2015 às 11:59",8 anos atrás,Palmer 
2108723197,"Criei um playbook ansible com vagrant para levantar um ambiente de desenvolvimento ruby rails, https://github.com/emilio2h...","Terça-Feira, 30 de Junho de 2015 às 12:50",8 anos atrás,Santiago
2336422830,é possivel usar com sql server?,"Sábado, 31 de Outubro de 2015 às 10:55",8 anos atrás,PeeWee Ferreira
2343199379,Salvou!!! Valeu Nando!,"Quarta-Feira, 4 de Novembro de 2015 às 19:13",8 anos atrás,Caroline Peixoto Pilletti
2480071341,"Parabéns pelo tutorial, faz muito tempo que tento iniciar meus estudos com rails e nunca consigo nem instalar nada e com esse tutorial consegui perfeitamente! Muito obrigado pela ajuda! espero agora conseguir migrar do .NET e Windows para Linux
Obrigado novamente!","Quarta-Feira, 27 de Janeiro de 2016 às 00:18",8 anos atrás,William Faria
2937986205,"Ja tenho um ruby instalado no meu ubunto, porém foi instalado sem rbenv, tem algum problema instalar o rbenv agora, ou será necessário remove-lo primeiro?","Sexta-Feira, 7 de Outubro de 2016 às 11:27",7 anos atrás,Robson Silva
3867688598,"quando vou abrir o localhost:3000 usando mysql da o seguinte erro
Access denied for user 'root@localhost' (using password:NO)","Segunda-Feira, 23 de Abril de 2018 às 03:57",5 anos atrás,Mayke Sampaio
4067262375,"Quando chego no processo de instalar rbenv install -l fica dando este erro! Alguém sabe como resolver?
Grato por hora!
bash: /home/jonatas/.bashrc: line 171: syntax error near unexpected token `export'","Quarta-Feira, 29 de Agosto de 2018 às 17:22",5 anos atrás,Jonatas Moreira
4067805593,"Meu problema resolveu depois que restaurei o bash
Restaure o bash$ cp ~/.bashrc ~/.bashrc.velho
$ cp /etc/skel/.bashrc ~/
$ source .bashrc","Quinta-Feira, 30 de Agosto de 2018 às 00:40",5 anos atrás,Jonatas Moreira
4399174943,Obrigado Nando. Salvou meu dia!,"Quarta-Feira, 27 de Março de 2019 às 23:36",4 anos atrás,Raphael
2058803729,"Legal Nando, estou usando brew services para start/stop do Mysql e Postgresql <3 <3 <3
https://robots.thoughtbot.c...","Terça-Feira, 2 de Junho de 2015 às 18:17",8 anos atrás,Helio Oliveira
2058842341,"Eu já tenho aliases para isso, então não sinto falta. :)","Terça-Feira, 2 de Junho de 2015 às 18:31",8 anos atrás,Nando Vieira
2059081264,Ainda usa o vagrant ?,"Terça-Feira, 2 de Junho de 2015 às 21:26",8 anos atrás,vianaweb
2059082242,Yep! O tutorial é mais para ajudar outras pessoas. ;),"Terça-Feira, 2 de Junho de 2015 às 21:27",8 anos atrás,Nando Vieira
2138110873,"Opa nando, tudo bom?
depois de rodar o comando para instalar o rails e o node.js, rodei o comando rails -v e ele me retornou (Rails is not currently installed on this system. To get the latest version, simply type: $ sudo gem install rails) E mesmo rodando o comando com sudo ele entra num loop de sempre falar que ainda não está instalado. Alguma sugestão?","Quarta-Feira, 15 de Julho de 2015 às 14:32",8 anos atrás,Felipe
2138124682,"resolvido! era apenas reiniciar o terminal.
aproveito para agradecer e parabenizar pelo ótimo conteúdo.
abs","Quarta-Feira, 15 de Julho de 2015 às 14:40",8 anos atrás,Felipe
4147596919,"Obrigado, xará, pelas dicas, mas para coisas mais simples o Sinatra(servidor web) não seria uma opção melhor?","Terça-Feira, 16 de Outubro de 2018 às 10:33",5 anos atrás,Fernando Ventura Jr.
4242028097,"Como eu abro o ruby, após tê-lo instalado?","Sábado, 15 de Dezembro de 2018 às 00:19",5 anos atrás,Daniel
4905444981,Você pode usar irb para chamar o interpretador.,"Quinta-Feira, 7 de Maio de 2020 às 21:25",3 anos atrás,Fernando Ventura Jr.
